Ticker,Classification,Cadence,Yield,ROI,Starting_Balance,Current_Value,Total_Shares_Held,Shares_Bought_Start,Open_Price_Jan,Current_Price,Distro_Date_1,Shares_Held_1,Cash_remaining,Distro_1,Open_Price_D1,Shares_Bought_1,Distro_Date_2,Shares_Held_2,Cash_remaining_2,Distro_2,Open_Price_D2,Shares_Bought_2,Distro_Date_3,Shares_Held_3,Cash_remaining_3,Distro_3,Open_Price_D3,Shares_Bought_3,Distro_Date_4,Shares_Held_4,Cash_remaining_4,Distro_4,Open_Price_D4,Shares_Bought_4,Distro_Date_5,Shares_Held_5,Cash_remaining_5,Distro_5,Open_Price_D5,Shares_Bought_5,Distro_Date_6,Distro_6,Open_Price_D6,Distro_Date_7,Distro_7,Open_Price_D7,Distro_Date_8,Distro_8,Open_Price_D8,Distro_Date_9,Distro_9,Open_Price_D9,Distro_Date_10,Distro_10,Open_Price_D10,Distro_Date_11,Distro_11,Open_Price_D11,Distro_Date_12,Distro_12,Open_Price_D12,Distro_Date_13,Distro_13,Open_Price_D13
CRSH,Group A ETFs,Monthly,45.63%,14.60%,1000,1060.8,221,159,6.26,4.8,1/24/2025,159,4.66,0.286,5.78,8,2/21/2025,167,3.89,0.381,6.12,11,3/21/2025,178,0.20,0.646,7.67,15,4/21/2025,193,0.14,0.562,7.21,15,5/23/2025,208,0.46,0.315,4.88,13,6/20/2025,,,7/11/2025,,,8/8/2025,,,9/5/2025,,,10/3/2025,,,10/31/2025,,,12/1/2025,,,12/29/2025,,
FEAT,Group A ETFs,Monthly,21.86%,-15.06%,1000,937.3,26,21,45.56,36.05,1/24/2025,21,43.24,2.194,47.12,1,2/21/2025,22,42.19,1.91,44.01,1,3/21/2025,23,40.20,0.692,34.91,1,4/21/2025,24,21.21,1.643,33.08,1,5/23/2025,25,27.56,1.443,35.5,1,6/20/2025,,,7/11/2025,,,8/8/2025,,,9/5/2025,,,10/3/2025,,,10/31/2025,,,12/1/2025,,,12/29/2025,,
FIVY,Group A ETFs,Monthly,14.26%,-8.34%,1000,965.25,25,22,45.1,38.61,1/24/2025,22,7.80,1.677,48.08,0,2/21/2025,22,44.69,1.12,45.25,1,3/21/2025,23,24.08,0.709,35.67,1,4/21/2025,24,4.72,1.028,34.27,0,5/23/2025,24,29.39,0.972,38.4,1,6/20/2025,,,7/11/2025,,,8/8/2025,,,9/5/2025,,,10/3/2025,,,10/31/2025,,,12/1/2025,,,12/29/2025,,
GOOY,Group A ETFs,Monthly,14.49%,-17.66%,1000,926.44,76,66,14.96,12.19,1/24/2025,66,12.64,0.332,15.03,2,2/21/2025,68,4.49,0.388,14.04,2,3/21/2025,70,2.80,0.328,12.33,2,4/21/2025,72,1.10,0.373,11.3,2,5/23/2025,74,5.35,0.345,12.06,2,6/20/2025,,,7/11/2025,,,8/8/2025,,,9/5/2025,,,10/3/2025,,,10/31/2025,,,12/1/2025,,,12/29/2025,,
OARK,Group A ETFs,Monthly,21.18%,-15.15%,1000,936.92,118,97,10.24,7.94,1/24/2025,97,6.72,0.33,10.51,3,2/21/2025,100,7.20,0.427,10.32,4,3/21/2025,104,8.62,0.321,7.93,5,4/21/2025,109,2.35,0.292,6.85,4,5/23/2025,113,6.78,0.312,7.84,5,6/20/2025,,,7/11/2025,,,8/8/2025,,,9/5/2025,,,10/3/2025,,,10/31/2025,,,12/1/2025,,,12/29/2025,,
SNOY,Group A ETFs,Monthly,25.59%,65.76%,1000,1273.85,73,56,17.8,17.45,1/24/2025,56,3.20,0.739,18.83,2,2/21/2025,58,6.92,0.921,18.75,3,3/21/2025,61,4.09,0.812,15.8,3,4/21/2025,64,6.22,0.686,13.77,3,5/23/2025,67,8.82,1.307,15.46,6,6/20/2025,,,7/11/2025,,,8/8/2025,,,9/5/2025,,,10/3/2025,,,10/31/2025,,,12/1/2025,,,12/29/2025,,
TSLY,Group A ETFs,Monthly,34.75%,-20.41%,1000,915,100,72,13.85,9.15,1/24/2025,72,2.80,0.717,13.55,4,2/21/2025,76,0.22,0.579,11.51,3,3/21/2025,79,9.70,0.464,7.73,5,4/21/2025,84,7.70,0.66,7.16,8,5/23/2025,92,5.86,0.76,9.13,8,6/20/2025,,,7/11/2025,,,8/8/2025,,,9/5/2025,,,10/3/2025,,,10/31/2025,,,12/1/2025,,,12/29/2025,,
TSMY,Group A ETFs,Monthly,20.47%,-5.49%,1000,977.13,63,52,19.2,15.51,1/24/2025,52,1.60,0.645,20.13,1,2/21/2025,53,15.01,0.602,17.4,2,3/21/2025,55,12.12,0.577,15.19,2,4/21/2025,57,13.47,0.563,12.98,3,5/23/2025,60,6.62,0.788,15.2,3,6/20/2025,,,7/11/2025,,,8/8/2025,,,9/5/2025,,,10/3/2025,,,10/31/2025,,,12/1/2025,,,12/29/2025,,
XOMO,Group A ETFs,Monthly,13.37%,-12.52%,1000,947.87,77,68,14.61,12.31,1/24/2025,68,6.52,0.349,14.48,2,2/21/2025,70,1.29,0.254,14.6,1,3/21/2025,71,4.47,0.295,14.48,1,4/21/2025,72,10.94,0.35,12.79,2,5/23/2025,74,10.56,0.398,13.01,3,6/20/2025,,,7/11/2025,,,8/8/2025,,,9/5/2025,,,10/3/2025,,,10/31/2025,,,12/1/2025,,,12/29/2025,,
YBIT,Group A ETFs,Monthly,#DIV/0!,#DIV/0!,1000,#DIV/0!,#DIV/0!,#DIV/0!,,,1/24/2025,#DIV/0!,#DIV/0!,,,#DIV/0!,2/21/2025,#DIV/0!,#DIV/0!,,,#DIV/0!,3/21/2025,#DIV/0!,#DIV/0!,,,#DIV/0!,4/21/2025,#DIV/0!,#DIV/0!,,,#DIV/0!,5/23/2025,#DIV/0!,#DIV/0!,,,#DIV/0!,6/20/2025,,,7/11/2025,,,8/8/2025,,,9/5/2025,,,10/3/2025,,,10/31/2025,,,12/1/2025,,,12/29/2025,,
